"Data Source","World Development Indicators",

"Last Updated Date","2018-05-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Central African Republic","CAF","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.638013591562","11.9962582990471","9.58298323972936","28.5015872065165","27.6621674747739","30.8647524486784","25.6107499230337","",
"Canada","CAN","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.4","0.4","0.8","1.3","1.2","0.8","0.7","0.6","0.5","0.5","0.591881702742286","",
"Central Europe and the Baltics","CEB","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.80546422987001","6.42293385932725","10.0371610997272","12.2729159322381","13.7595527847579","11.5860290373317","8.18605013114376","5.48405189413127","4.5948979512957","",
"Switzerland","CHE","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.29203303249485","0.957138567701129","0.774380388374949","0.945475351156514","1.12076238927874","0.921783628249647","0.842058153695874","0.794555821014558","0.776052312223016","0.724263677663452","0.749519975348388","0.741591230486108","",
"Channel Islands","CHI","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.61915877786992","1.8229968378738","1.63483787843428","1.20249750508307","0.905289363028412","0.748131241077717","0.750701584683206","0.976461981394739","2.9256375691423","2.69328031371346","2.34645555975677","2.15715182395589","2.1054329203444","2.0596652843164","1.8746632672456","1.83263616219253","",
"China","CHN","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.13237045139299","0.961585528954036","0.953674330051852","0.999702805112438","1.24873335628106","1.67388016445151","1.7467284950583","",
"Cote d'Ivoire","CIV","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1013484732753","11.4467110822484","11.5528007091671","10.2953314100547","9.7016869901582","9.31517696172158","10.6518721492541","",
"Congo, Dem. Rep.","COD","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
